apolítico a/PRE político/STM
analfabeto an/PRE alfabeto/STM
anteayer ante/PRE ayer/STM
deshacer des/PRE hacer/STM
deponer de/PRE poner/STM
posponer pos/PRE poner/STM
extraer ex/PRE traer/STM
enlatar en/PRE latar/STM
ilegal i/PRE legal/STM
inevitable in/PRE evitable/STM
imposible im/PRE posible/STM
cochazo coch/STM azo/SUF
novelón novel/STM ón/SUF
grandote grand/STM ote/SUF
borrico borr/STM ico/SUF
tufillo tuf/STM illo/SUF
pobrecito pobre/STM cito/SUF
cucharita cuchar/STM ita/SUF
botellín botell/STM ín/SUF
polluelo poll/STM uelo/SUF
vejete vej/STM ete/SUF
pajarraco pajarr/STM aco/SUF
populacho popul/STM acho/SUF
arenal aren/STM al/SUF
pinar pin/STM ar/SUF
alameda alam/STM eda/SUF
viñedo viñ/STM edo/SUF
oleaje ole/STM aje/SUF
velamen vel/STM amen/SUF
fragancia frag/STM ancia/SUF
paciencia paci/STM encia/SUF
bondad bon/STM dad/SUF
seriedad seri/STM edad/SUF
suavidad suav/STM idad/SUF
timidez timid/STM ez/SUF
llaneza llan/STM eza/SUF
plenitud plen/STM itud/SUF
blancura blanc/STM ura/SUF
secretario secret/STM ario/SUF
empresearia emprese/STM aria/SUF
librero libr/STM ero/SUF
chapista chap/STM ista/SUF
profesor profes/STM or/SUF
vendedor vende/STM dor/SUF
comunismo comun/STM ismo/SUF
comunista comun/STM ista/SUF
probador prob/STM ador/SUF
recibidor recib/STM idor/SUF
comedor com/STM edor/SUF
lavadero lavad/STM ero/SUF
confitería confiter/STM ía/SUF
sonido son/STM ido/SUF
bofetada bofet/STM ada/SUF
partida part/STM ida/SUF
partido part/STM ido/SUF
ovación ova/STM ción/SUF
argumento argu/STM mento/SUF
estiramiento estir/STM amiento/SUF
crianza cri/STM anza/SUF
muciano muci/STM ano/SUF
pacense pac/STM ense/SUF
madrileño madril/STM eño/SUF
genovés genov/STM és/SUF
agradable agrad/STM able/SUF
temible tem/STM ible/SUF
comarcal comarc/STM al/SUF
familar famil/STM ar/SUF
cañamero cañam/STM ero/SUF
juvenil juven/STM il/SUF
orgulloso orgull/STM oso/SUF
peludo pel/STM udo/SUF
cantante cant/STM ante/SUF
vidente vid/STM ente/SUF
hiriente hir/STM iente/SUF
conservador conserv/STM ador/SUF
bebedor beb/STM edor/SUF
cumplidor cumpl/STM idor/SUF
emisor emi/STM sor/SUF
inventor inven/STM tor/SUF
altísimo alt/STM ísimo/SUF
ambarino ambar/STM ino/SUF
blanquecino blanqu/STM ecino/SUF
parduzco pard/STM uzco/SUF
cobrizo cobr/STM izo/SUF
verdoso verd/STM oso/SUF
alegrar alegr/STM ar/SUF
agujerear agujer/STM ear/SUF
humedecer humed/STM ecer/SUF
dosificar dos/STM ificar/SUF
aterrizar aterr/STM izar/SUF
delicadamente delicada/STM mente/SUF

